sr_no,gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,shortlist_uni_1,admit_uni_1,shortlist_uni_2,admit_uni_2,shortlist_uni_3,admit_uni_3,shortlist_uni_4,admit_uni_4,shortlist_uni_5,admit_uni_5,shortlist_uni_6,admit_uni_6
1,Male,General,82.0,86.5,77.4,Engineer,92.43,30,0,0,0,0,0,0,0,0,0,0,0,0
2,Female,General,95.0,95.6,85.4,Engineer,94.29,16,0,0,0,0,0,0,0,0,1,0,0,0
3,Female,General,93.1,91.6,79.2,Non-Engineer,92.52,4,0,0,0,0,0,0,0,0,0,0,0,0
4,Male,General,91.8,89.7,80.7,Non-Engineer,96.57,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Female,General,96.0,86.2,92.4,Non-Engineer,91,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Male,General,87.4,92.6,79.9,Engineer,99.63,21,0,0,0,0,1,0,0,0,0,0,0,0
7,Male,NC_OBC,99.3,89.7,73.6,Engineer,95.01,25,0,0,1,1,0,0,1,1,1,1,1,1
8,Male,General,95.0,86.8,71.1,Engineer,99.26,26,0,0,0,0,0,0,0,0,0,0,0,0
9,Male,General,87.4,79.6,70.1,Engineer,99.22,28,0,0,0,0,0,0,0,0,0,0,1,0
10,Female,NC_OBC,85.5,84.3,70.9,Non-Engineer,91.5,14,0,0,0,0,0,0,0,0,1,1,0,0
11,Male,General,93.7,95.3,63.7,Engineer,99.97,1,1,0,1,0,1,1,0,0,1,0,0,0
12,Female,General,95.0,83.6,75.8,Engineer,76.67,9,0,0,0,0,0,0,0,0,0,0,0,0
13,Male,General,86.0,71.7,89.6,Engineer,92.31,33,0,0,0,0,0,0,0,0,0,0,0,0
14,Male,General,85.7,82.7,77.9,Engineer,70.9,25,0,0,0,0,0,0,0,0,0,0,0,0
15,Female,General,81.7,80.4,68.0,Non-Engineer,39.17,20,0,0,0,0,0,0,0,0,0,0,0,0
16,Female,General,87.4,80.2,87.1,Non-Engineer,70.07,12,0,0,0,0,0,0,0,0,0,0,0,0
17,Male,General,89.3,90.8,77.0,Non-Engineer,95.01,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Male,General,76.0,87.8,79.3,Non-Engineer,76.43,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Male,NC_OBC,70.3,85.2,58.9,Engineer,94.52,24,0,0,0,0,0,0,0,0,0,0,1,0
20,Male,General,87.4,86.2,73.5,Engineer,95.69,35,0,0,0,0,0,0,0,0,0,0,0,0
21,Male,NC_OBC,89.3,88.0,83.0,Engineer,93.21,26,0,0,1,1,0,0,1,1,1,1,1,0
22,Female,General,91.8,92.8,90.0,Non-Engineer,97.53,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Female,General,97.0,97.0,87.5,Non-Engineer,93.18,12,0,0,0,0,0,0,0,0,0,0,0,0
24,Female,General,86.9,80.4,85.9,Engineer,96.66,29,0,0,0,0,0,0,0,0,1,0,1,0
25,Female,General,87.9,87.4,74.3,Non-Engineer,79.44,20,0,0,0,0,0,0,0,0,0,0,0,0
26,Male,NC_OBC,88.0,95.0,78.0,Non-Engineer,80.73,23,1,0,0,0,0,0,0,0,1,1,0,0
27,Female,General,95.0,88.2,74.5,Engineer,93.33,27,0,0,0,0,0,0,0,0,1,0,0,0
28,Female,General,91.2,95.6,70.8,Non-Engineer,94.87,23,0,0,1,0,0,0,1,1,1,1,1,0
29,Female,General,95.0,93.6,76.4,Non-Engineer,90.1,11,0,0,0,0,0,0,0,0,0,0,0,0
30,Male,General,80.8,81.3,61.0,Non-Engineer,94.4,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Female,General,92.2,90.2,77.9,Non-Engineer,80.21,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Male,General,91.7,82.6,66.3,Non-Engineer,96.34,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Male,General,83.6,86.0,77.3,Non-Engineer,93.91,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Female,General,91.2,86.8,76.0,Non-Engineer,86.72,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Female,General,95.0,90.2,77.0,Non-Engineer,96.16,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Male,General,91.2,98.6,85.7,Engineer,86.2,25,0,0,0,0,0,0,0,0,0,0,0,0
37,Male,NC_OBC,78.0,73.0,59.0,Non-Engineer,91.08,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Female,General,95.0,95.0,81.7,Non-Engineer,94.46,9,0,0,0,0,0,0,1,0,1,0,0,0
39,Male,General,66.5,93.8,57.4,Non-Engineer,99.14,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Female,General,89.3,93.2,79.0,Non-Engineer,92.97,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Female,General,95.0,91.3,79.2,Engineer,64.35,24,0,0,0,0,0,0,0,0,0,0,0,0
42,Male,General,95.0,95.0,78.8,Non-Engineer,81.52,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Male,General,95.0,87.8,70.1,Non-Engineer,95.7,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Male,General,88.7,86.3,87.6,Engineer,86.53,37,0,0,0,0,0,0,0,0,0,0,0,0
45,Male,NC_OBC,89.3,79.0,65.6,Non-Engineer,90.45,13,0,0,0,0,0,0,0,0,0,0,0,0
46,Male,General,91.9,84.3,67.2,Non-Engineer,98.44,31,1,0,0,0,0,0,0,0,0,0,0,0
47,Male,General,95.0,98.0,82.5,Non-Engineer,99.92,0,1,0,1,0,1,1,1,0,1,1,0,0
48,Male,NC_OBC,92.1,91.5,83.0,Engineer,98.35,20,1,1,1,1,0,0,0,0,0,0,0,0
49,Male,General,91.2,92.6,78.7,Non-Engineer,99.12,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Female,General,95.0,95.4,86.8,Non-Engineer,96.92,0,0,0,0,0,0,0,1,1,1,1,1,0
51,Male,General,77.9,91.6,75.4,Non-Engineer,99.02,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Female,NC_OBC,95.0,80.2,84.5,Engineer,74.21,12,0,0,0,0,0,0,0,0,0,0,0,0
53,Male,SC,95.0,81.8,70.1,Engineer,92.91,24,1,0,0,0,0,0,0,0,0,0,1,1
54,Female,General,89.4,85.2,74.1,Engineer,88.13,14,0,0,0,0,0,0,0,0,0,0,0,0
55,Female,General,87.4,91.4,79.5,Non-Engineer,91.93,12,0,0,0,0,0,0,0,0,0,0,0,0
56,Male,General,78.8,84.2,63.1,Non-Engineer,99.44,0,0,0,0,0,0,0,0,0,1,0,0,0
57,Female,General,87.6,92.5,88.8,Non-Engineer,97.87,15,0,0,0,0,0,0,1,0,0,0,0,0
58,Female,General,83.6,86.6,73.8,Non-Engineer,84.98,15,0,0,0,0,0,0,0,0,0,0,0,0
59,Male,General,86.5,82.8,74.6,Engineer,97.42,28,0,0,0,0,0,0,0,0,0,0,0,0
60,Male,General,98.0,88.8,87.1,Engineer,98.84,13,0,0,1,1,0,0,1,1,0,0,1,1
61,Male,General,72.8,91.8,69.8,Non-Engineer,91.86,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Female,General,93.1,94.2,86.0,Engineer,98.26,13,0,0,0,0,0,0,0,0,0,0,0,0
63,Male,General,81.7,68.8,83.9,Non-Engineer,87.56,10,0,0,0,0,0,0,0,0,0,0,0,0
64,Female,General,97.2,86.2,83.2,Engineer,99.77,13,0,0,1,1,1,0,1,0,0,0,1,0
65,Female,SC,95.0,96.0,74.9,Non-Engineer,78.87,0,1,0,0,0,0,0,1,0,0,0,0,0
66,Male,General,78.0,85.6,60.0,Non-Engineer,96.95,15,0,0,1,0,0,0,0,0,0,0,0,0
67,Male,General,79.8,73.2,80.6,Non-Engineer,99.29,14,0,0,0,0,0,0,0,0,1,1,0,0
68,Male,General,90.0,87.5,76.8,Non-Engineer,88.01,12,0,0,0,0,0,0,0,0,0,0,0,0
69,Male,EWS,95.0,85.6,75.8,Engineer,83.88,5,0,0,0,0,0,0,0,0,0,0,0,0
70,Female,General,89.3,92.8,89.2,Non-Engineer,92.47,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Male,General,89.3,86.7,77.4,Non-Engineer,96.79,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Male,General,85.4,66.6,63.9,Non-Engineer,76.23,24,0,0,0,0,0,0,0,0,0,0,0,0
73,Female,General,91.2,95.2,77.5,Non-Engineer,93.61,0,0,0,0,0,0,0,1,0,0,0,0,0
74,Male,General,95.0,91.6,85.0,Non-Engineer,92.48,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Male,NC_OBC,95.8,91.5,72.0,Engineer,77.81,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Male,NC_OBC,94.0,91.7,73.8,Engineer,78.48,3,0,0,0,0,0,0,0,0,0,0,0,0
77,Male,SC,81.5,83.6,62.3,Non-Engineer,81.09,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Male,General,86.5,86.5,69.0,Engineer,99.61,41,0,0,0,0,0,0,0,0,0,0,1,1
79,Male,General,94.0,96.0,87.1,Engineer,99.06,4,1,0,1,0,1,0,1,1,1,1,1,1
80,Female,General,95.0,94.0,80.0,Non-Engineer,81.1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Male,General,90.6,85.7,82.6,Non-Engineer,87.01,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Male,General,85.6,82.8,73.9,Non-Engineer,83.31,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Male,ST,76.0,87.0,70.0,Non-Engineer,74,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Male,General,93.1,93.6,83.0,Non-Engineer,98.31,0,0,0,0,0,0,0,0,0,1,0,0,0
85,Male,General,85.4,88.8,80.2,Engineer,93.23,13,0,0,0,0,0,0,0,0,0,0,0,0
86,Male,General,95.0,89.4,90.1,Engineer,99.76,38,1,0,1,1,1,0,1,0,0,0,1,0
87,Male,General,86.3,76.3,84.7,Engineer,78.08,19,0,0,0,0,0,0,0,0,0,0,0,0
88,Female,General,95.0,89.0,78.9,Non-Engineer,89.03,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Male,NC_OBC,74.0,86.2,69.4,Non-Engineer,90.43,0,0,0,0,0,0,0,0,0,1,0,0,0
90,Female,General,85.5,83.4,88.7,Non-Engineer,89.61,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Male,NC_OBC,79.7,70.0,66.0,Engineer,94.56,22,0,0,0,0,0,0,0,0,0,0,0,0
92,Male,General,95.0,94.4,83.6,Non-Engineer,98.99,0,1,0,0,0,0,0,1,1,1,0,0,0
93,Male,General,94.4,79.5,68.3,Engineer,80.91,23,0,0,0,0,0,0,0,0,0,0,0,0
94,Male,General,92.2,91.5,86.1,Engineer,99.86,13,1,0,1,0,1,1,1,0,1,0,1,0
95,Female,General,92.0,88.9,73.5,Non-Engineer,98.2,0,0,0,0,0,0,0,0,0,1,0,1,0
96,Female,General,89.3,90.2,82.5,Non-Engineer,95.19,0,0,0,0,0,0,0,1,0,0,0,0,0
97,Female,General,96.0,92.4,83.3,Non-Engineer,49.27,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Female,General,88.6,89.4,62.3,Engineer,95.68,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Male,SC,91.0,85.9,75.4,Engineer,88.1,13,0,0,1,0,1,0,1,0,1,0,1,0
100,Male,General,71.5,83.0,84.5,Engineer,98.42,24,0,0,0,0,0,0,0,0,0,0,0,0
101,Female,SC,96.0,81.5,90.0,Non-Engineer,84.11,0,1,1,0,0,0,0,0,0,0,0,0,0
102,Male,NC_OBC,79.3,73.5,70.3,Non-Engineer,87.01,24,0,0,0,0,0,0,0,0,0,0,0,0
103,Female,General,95.0,98.2,80.5,Non-Engineer,89.85,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Male,General,95.0,96.0,80.8,Non-Engineer,99.67,0,1,1,0,0,1,1,1,1,1,0,1,0
105,Male,General,90.3,75.4,71.1,Non-Engineer,98.97,0,0,0,0,0,0,0,0,0,1,0,0,0
106,Male,General,89.2,79.0,77.4,Non-Engineer,92.64,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Female,General,98.3,95.8,90.5,Engineer,91.85,37,0,0,1,0,0,0,1,0,0,0,0,0
108,Female,General,91.7,90.9,87.4,Engineer,99.56,13,0,0,1,1,1,0,1,0,1,0,1,0
109,Male,General,88.3,92.3,83.2,Engineer,98.21,12,0,0,0,0,0,0,0,0,0,0,0,0
110,Male,General,84.4,95.6,79.1,Engineer,90.4,12,0,0,0,0,0,0,0,0,0,0,0,0
111,Male,General,87.4,85.8,70.0,Engineer,96.41,22,0,0,0,0,0,0,0,0,0,0,0,0
112,Female,General,85.7,87.4,71.0,Non-Engineer,94.65,11,0,0,1,0,1,0,0,0,1,1,0,0
113,Male,General,95.0,77.7,84.3,Engineer,95.94,13,0,0,0,0,0,0,0,0,0,0,0,0
114,Female,EWS,92.6,91.7,79.1,Engineer,97.25,45,0,0,1,1,1,1,1,1,1,1,1,1
115,Female,NC_OBC,92.8,84.6,83.8,Engineer,97.03,15,0,0,1,0,1,1,1,0,1,1,1,0
116,Male,General,88.7,84.5,74.6,Non-Engineer,78.78,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Male,General,87.4,89.2,74.5,Engineer,99.17,31,0,0,0,0,0,0,0,0,0,0,0,0
118,Male,General,91.2,87.6,78.3,Non-Engineer,91.02,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Male,NC_OBC,91.2,89.4,78.3,Engineer,98.81,12,0,0,1,0,0,0,0,0,0,0,0,0
120,Male,NC_OBC,78.0,88.0,62.0,Engineer,96.66,0,0,0,0,0,0,0,0,0,1,0,1,1
121,Male,NC_OBC,89.7,89.6,64.5,Non-Engineer,77.02,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Male,General,86.5,93.5,78.2,Engineer,91.57,26,0,0,0,0,0,0,0,0,0,0,0,0
123,Male,General,82.1,87.4,73.1,Engineer,99.7,24,0,0,0,0,0,0,0,0,0,0,0,0
124,Male,General,94.5,87.0,73.2,Engineer,98.92,35,0,0,0,0,0,0,0,0,0,0,0,0
125,Female,NC_OBC,95.4,81.1,72.6,Engineer,94.89,12,0,0,1,1,1,1,1,1,1,1,1,1
126,Female,General,97.0,98.2,79.0,Engineer,96.2,0,0,0,0,0,0,0,0,0,1,0,0,0
127,Male,General,96.0,79.6,76.0,Engineer,99.69,36,0,0,1,0,0,0,0,0,0,0,0,0
128,Male,General,98.7,97.8,85.0,Engineer,99.71,37,1,0,0,0,0,0,0,0,0,0,0,0
129,Male,General,87.6,78.8,73.0,Engineer,70.33,28,0,0,0,0,0,0,0,0,0,0,0,0
130,Male,General,86.3,77.9,75.2,Engineer,99.51,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Male,General,93.1,95.0,70.0,Engineer,97.39,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Male,General,89.0,74.3,84.3,Engineer,93.15,40,0,0,0,0,0,0,0,0,0,0,0,0
133,Female,General,83.9,83.8,76.5,Non-Engineer,92.52,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Male,General,95.0,97.9,82.7,Engineer,98.53,13,0,0,0,0,0,0,0,0,0,0,0,0
135,Male,General,92.6,92.6,75.8,Engineer,99.79,25,1,0,1,0,1,0,1,1,1,1,1,1
136,Male,General,93.3,78.6,67.1,Engineer,94.57,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Female,General,90.7,85.2,79.0,Engineer,98.75,6,0,0,0,0,0,0,0,0,1,0,0,0
138,Female,General,95.0,90.0,80.0,Engineer,97.16,12,0,0,0,0,0,0,0,0,1,0,0,0
139,Female,General,95.0,76.3,72.1,Engineer,86.73,17,0,0,0,0,0,0,0,0,0,0,0,0
140,Female,SC,89.7,83.1,74.9,Engineer,74.5,25,0,0,0,0,0,0,0,0,0,0,0,0
141,Male,General,91.6,82.8,76.7,Engineer,98.74,25,0,0,0,0,0,0,0,0,0,0,0,0
142,Male,General,93.1,90.0,77.1,Engineer,98.45,25,0,0,0,0,0,0,0,0,0,0,1,1
143,Male,General,91.3,92.8,76.1,Engineer,86.46,13,0,0,0,0,0,0,0,0,0,0,0,0
144,Female,NC_OBC,96.0,86.4,79.0,Engineer,86.52,12,0,0,0,0,0,0,0,0,1,0,0,0
145,Male,NC_OBC,95.0,85.4,63.1,Engineer,86.89,16,0,0,0,0,0,0,1,0,0,0,0,0
146,Male,General,85.2,78.2,58.6,Non-Engineer,93.97,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Male,SC,88.0,77.0,75.0,Non-Engineer,70.87,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Female,General,84.0,78.2,86.0,Non-Engineer,94.34,6,0,0,0,0,0,0,0,0,0,0,0,0
149,Female,General,95.8,92.2,87.0,Non-Engineer,94.03,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Female,General,92.8,93.1,82.0,Non-Engineer,88.24,7,0,0,0,0,0,0,0,0,0,0,0,0
151,Male,General,83.8,59.3,57.2,Engineer,68.77,20,0,0,0,0,0,0,0,0,0,0,0,0
152,Male,General,95.4,93.8,79.5,Engineer,96.38,11,0,0,0,0,0,0,0,0,0,0,0,0
153,Male,General,94.2,95.8,75.6,Non-Engineer,95.79,2,0,0,0,0,0,0,0,0,1,0,0,0
154,Male,General,95.0,95.6,86.7,Non-Engineer,95.61,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Female,General,96.8,92.2,77.8,Non-Engineer,88.58,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Male,NC_OBC,91.7,96.0,87.3,Engineer,93.48,19,0,0,0,0,0,0,0,0,0,0,0,0
